parametr;etykieta;p_raw;cliff_delta;interpretacja_efektu;n_hosp;n_dom;p_fdr;istotny_fdr
crp(0-0,5);CRP, mg/dL;3.397319025072939e-08;0.5291044776119402;duży;80;67;4.756246635102115e-07;True
troponina I (0-7,8));Troponina I;9.731059526876327e-06;0.45517241379310347;duży;70;58;4.569026148332206e-05;True
SpO2;Saturacja, %;9.790770317854727e-06;-0.4101683270353831;duży;82;71;4.569026148332206e-05;True
HGB(12,4-15,2);Hemoglobina, g/dL;1.589457341765497e-05;-0.40535898316729646;duży;82;71;5.56310069617924e-05;True
hct(38-45);Hematokryt, %;9.399656682788742e-05;-0.3668842322226039;duży;82;71;0.00026319038711808477;True
kreatynina(0,5-1,2);Kreatynina, mg/dL;0.010322288033212735;0.2409824802473377;umiarkowany;82;71;0.024085338744163052;True
wiek;Wiek, lata;0.017799472759930633;0.22260391618000686;umiarkowany;82;71;0.035598945519861265;True
WBC(4-11);Leukocyty, G/L;0.038558722910528954;0.19443490209549985;umiarkowany;82;71;0.06747776509342568;False
Na(137-145);Sód, mmol/L;0.06977960295995099;-0.17021642047406393;umiarkowany;82;71;0.10854604904881264;False
AS;Akcja serca / min;0.10455878665356892;0.15443037974683538;umiarkowany;79;70;0.1463823013149965;False
MAP;Średnie ciśnienie tętnicze, mmHg;0.23052436156544176;-0.1133802816901408;mały;80;71;0.2933946419923804;False
plt(130-450);Płytki, G/L;0.40419710433042544;0.07849536241841282;mały;82;71;0.4715632883854964;False
K(3,5-5,1);Potas, mmol/L;0.44465374517554;0.07179663345929232;mały;82;71;0.4788578794198123;False
mleczany;Mleczany, mmol/L;0.9202405702409283;-0.03703703703703709;mały;18;6;0.9202405702409283;False
