parametr;OR;CI_95%;p_value
const;3.8334415869995504e+22;67148593575.03-21884709148103917164659658276732928.00;0.00016657160459266783
crp(0-0,5);1.076786721893661;0.97-1.20;0.17840714117141665
troponina I (0-7,8));1.0050662886414918;0.99-1.02;0.3859578698839824
SpO2;0.5926468398943496;0.45-0.77;0.00013161470954424682
HGB(12,4-15,2);0.9689739602919922;0.37-2.54;0.9489094046182709
hct(38-45);0.8938886943614472;0.64-1.25;0.509188383379177
kreatynina(0,5-1,2);1.6826094078997431;0.74-3.83;0.21535289188859574
wiek;1.0174714652505203;0.99-1.05;0.26272034939002975
WBC(4-11);1.1145721735103846;0.96-1.29;0.15362102299875774
