typ;parametr;etykieta;hospitalizowani;wypisani;n_hosp;n_dom;p_value;effect_size;interpretacja_efektu
ciągła;wiek;Wiek, lata;72.00 [65.00-80.00];68.00 [45.00-79.00];82;71;0.017799472759930633;0.22260391618000686;umiarkowany
ciągła;MAP;Średnie ciśnienie tętnicze, mmHg;100.00 [86.00-109.25];102.00 [90.00-113.00];80;71;0.23052436156544176;-0.1133802816901408;mały
ciągła;SpO2;Saturacja, %;95.50 [93.00-97.00];97.00 [96.00-98.00];82;71;9.790770317854727e-06;-0.4101683270353831;duży
ciągła;AS;Akcja serca / min;90.00 [75.50-104.50];82.50 [72.75-93.50];79;70;0.10455878665356892;0.15443037974683538;umiarkowany
ciągła;mleczany;Mleczany, mmol/L;2.35 [1.10-4.30];2.05 [1.40-3.08];18;6;0.9202405702409283;-0.03703703703703709;mały
ciągła;kreatynina(0,5-1,2);Kreatynina, mg/dL;1.10 [0.81-1.52];0.91 [0.78-1.08];82;71;0.010322288033212735;0.2409824802473377;umiarkowany
ciągła;troponina I (0-7,8));Troponina I;12.85 [6.00-31.68];3.65 [1.60-13.45];70;58;9.731059526876327e-06;0.45517241379310347;duży
ciągła;HGB(12,4-15,2);Hemoglobina, g/dL;12.50 [10.50-14.50];14.30 [13.10-15.20];82;71;1.589457341765497e-05;-0.40535898316729646;duży
ciągła;WBC(4-11);Leukocyty, G/L;9.80 [7.42-12.43];8.60 [6.44-10.80];82;71;0.038558722910528954;0.19443490209549985;umiarkowany
ciągła;plt(130-450);Płytki, G/L;241.50 [165.50-299.25];220.00 [186.50-268.00];82;71;0.40419710433042544;0.07849536241841282;mały
ciągła;hct(38-45);Hematokryt, %;37.55 [30.50-43.15];41.80 [38.95-45.20];82;71;9.399656682788742e-05;-0.3668842322226039;duży
ciągła;Na(137-145);Sód, mmol/L;139.85 [136.00-142.00];140.50 [138.15-143.00];82;71;0.06977960295995099;-0.17021642047406393;umiarkowany
ciągła;K(3,5-5,1);Potas, mmol/L;4.00 [3.60-4.70];3.90 [3.70-4.25];82;71;0.44465374517554;0.07179663345929232;mały
ciągła;crp(0-0,5);CRP, mg/dL;2.92 [0.49-12.88];0.20 [0.10-1.15];80;67;3.397319025072939e-08;0.5291044776119402;duży
kategorialna;dm;Cukrzyca;39/81 (48.1%);17/71 (23.9%);81;71;0.0024184519561947174;2.8944537815126052;OR
kategorialna;wątroba;Choroba wątroby;17/81 (21.0%);8/71 (11.3%);81;71;0.127537867802536;2.026903784769722;OR
kategorialna;naczyniowe;Choroby naczyniowe;68/80 (85.0%);48/71 (67.6%);80;71;0.012804516979743968;2.6552577319587627;OR
kategorialna;zza;Zespół zakrzepowo-zatorowy / wywiad;9/82 (11.0%);7/71 (9.9%);82;71;1.0;1.1115646258503402;OR
kategorialna;npl;Nowotwór / choroba proliferacyjna;16/82 (19.5%);5/71 (7.0%);82;71;0.033274342548081065;3.0;OR
