parametr;hosp_n;hosp_stat;dom_n;dom_stat;p_value;cliff_delta
wiek;82;72.00 [65.00-80.00];71;68.00 [45.00-79.00];0.017799472759930633;0.22260391618000688
MAP;80;100.00 [86.00-109.25];71;102.00 [90.00-113.00];0.23052436156544176;-0.11338028169014085
SpO2;82;95.50 [93.00-97.00];71;97.00 [96.00-98.00];9.790770317854727e-06;-0.41016832703538303
AS;79;90.00 [75.50-104.50];70;82.50 [72.75-93.50];0.10455878665356892;0.15443037974683543
mleczany;18;2.35 [1.10-4.30];6;2.05 [1.40-3.08];0.9202405702409283;-0.037037037037037035
kreatynina(0,5-1,2);82;1.10 [0.81-1.52];71;0.91 [0.78-1.08];0.010322288033212735;0.24098248024733768
troponina I (0-7,8));70;12.85 [6.00-31.68];58;3.65 [1.60-13.45];9.731059526876327e-06;0.45517241379310347
HGB(12,4-15,2);82;12.50 [10.50-14.50];71;14.30 [13.10-15.20];1.589457341765497e-05;-0.40535898316729646
WBC(4-11);82;9.80 [7.42-12.43];71;8.60 [6.44-10.80];0.038558722910528954;0.19443490209549982
plt(130-450);82;241.50 [165.50-299.25];71;220.00 [186.50-268.00];0.40419710433042544;0.07849536241841291
hct(38-45);82;37.55 [30.50-43.15];71;41.80 [38.95-45.20];9.399656682788742e-05;-0.3668842322226039
Na(137-145);82;139.85 [136.00-142.00];71;140.50 [138.15-143.00];0.06977960295995099;-0.1702164204740639
K(3,5-5,1);82;4.00 [3.60-4.70];71;3.90 [3.70-4.25];0.44465374517554;0.07179663345929234
crp(0-0,5);80;2.92 [0.49-12.88];67;0.20 [0.10-1.15];3.397319025072939e-08;0.5291044776119403
