parametr;hosp_sr;hosp_std;dom_sr;dom_std;roznica;p_value;istotnosc
HGB(12,4-15,2);11.72689655172414;2.9858201833813913;13.966666666666667;1.642660443711156;-2.2397701149425266;0.00590564146819537;**
SpO2;93.65517241379311;5.426626563719764;96.28571428571429;2.795404391905708;-2.6305418719211815;0.006635833455199066;**
hct(38-45);35.782758620689656;8.740058391661648;41.699999999999996;4.650376328857698;-5.91724137931034;0.010020188484173272;*
crp(0-0,5);8.107037037037038;10.815696149156706;3.0235294117647062;6.11228061076272;5.083507625272333;0.023434418508378567;*
kreatynina(0,5-1,2);1.4344827586206896;0.9141138808661194;1.0576190476190477;0.4966075388262321;0.37686371100164195;0.2709636214130904;ns
troponina I (0-7,8));84.83791666666666;240.93547554009535;36.03846153846154;76.8925715794612;48.79945512820512;0.2722693282228065;ns
Na(137-145);137.63103448275862;8.037861453693294;138.98095238095237;5.188893817339016;-1.3499178981937519;0.4725556821623953;ns
wiek;72.41379310344827;12.949123636588887;66.19047619047619;20.126149774904906;6.223316912972081;0.4726089629486674;ns
WBC(4-11);9.680000000000001;3.6942928958056376;9.154285714285715;3.209801506991626;0.5257142857142867;0.5620034662997524;ns
plt(130-450);240.6551724137931;103.5799469912937;222.47619047619048;65.30514455050157;18.17898193760263;0.7382335753907459;ns
K(3,5-5,1);4.1289655172413795;0.6920277906660882;4.095238095238095;0.4116748601459537;0.0337274220032846;0.8980011014787777;ns
